timestamp,total_beds,occupied_beds,available_beds,total_icu_beds,occupied_icu_beds,available_icu_beds,total_doctors,available_doctors,total_nurses,available_nurses,ventilators_total,ventilators_in_use,oxygen_units_total,oxygen_units_in_use,incoming_patients,discharged_patients,emergency_cases,opd_cases,avg_wait_time_minutes,avg_treatment_time_minutes,bed_turnover_rate,resource_utilization_rate,icu_utilization_rate,staff_load_ratio,emergency_pressure_score
2023-01-01 00:00:00,300,210,90,50,31,19,80,22,150,15,40,20,100,54,1,1,0,0,9.65,55,0.0033,0.7000,0.6200,5.5263,18.60
2023-01-01 01:00:00,300,211,89,50,31,19,80,20,150,16,40,17,100,43,3,2,1,1,7.14,60.24,0.0067,0.7033,0.6200,5.7027,19.00
2023-01-01 02:00:00,300,212,88,50,32,18,80,23,150,23,40,19,100,75,3,2,3,0,5.88,63.63,0.0067,0.7067,0.6400,4.5106,20.40
2023-01-01 03:00:00,300,213,87,50,33,17,80,12,150,20,40,23,100,50,3,2,2,2,12.46,68.77,0.0067,0.7100,0.6600,6.4545,20.60
2023-01-01 04:00:00,300,213,87,50,34,16,80,21,150,20,40,19,100,59,1,1,3,2,5,68.68,0.0033,0.7100,0.6800,5.0714,21.60
2023-01-01 05:00:00,300,212,88,50,34,16,80,17,150,25,40,24,100,79,1,2,3,1,5,58.83,0.0067,0.7067,0.6800,4.9302,21.60
2023-01-01 06:00:00,300,209,91,50,35,15,80,36,150,73,40,28,100,61,10,13,5,8,9.05,57.68,0.0433,0.6967,0.7000,1.9000,23.00
2023-01-01 07:00:00,300,216,84,50,36,14,80,39,150,65,40,25,100,74,13,6,6,5,11.88,58.75,0.0200,0.7200,0.7200,2.0571,24.00
2023-01-01 08:00:00,300,215,85,50,36,14,80,40,150,64,40,23,100,52,6,7,7,5,10.2,59.85,0.0233,0.7167,0.7200,2.0476,24.40
2023-01-01 09:00:00,300,230,70,50,38,12,80,39,150,61,40,22,100,51,25,10,15,5,34.38,57.88,0.0333,0.7667,0.7600,2.2772,28.80
2023-01-01 10:00:00,300,239,61,50,39,11,80,32,150,57,40,25,100,73,25,16,15,10,34.36,62.27,0.0533,0.7967,0.7800,2.6556,29.40
2023-01-01 11:00:00,300,243,57,50,42,8,80,36,150,48,40,22,100,61,22,18,11,9,30.92,52.49,0.0600,0.8100,0.8400,2.8588,29.60
2023-01-01 12:00:00,300,254,46,50,44,6,80,32,150,55,40,26,100,97,23,12,11,10,35.45,54.67,0.0400,0.8467,0.8800,2.8864,30.80
