date,hour,hospital_id,department,medicine_name,medicine_category,quantity_used,stock_remaining,patient_count,emergency_cases,opd_cases,avg_wait_time_minutes,day_of_week,is_weekend,season,outbreak_period
2023-01-01,6,H008,Cardiology,Atorvastatin,cardiac,19,281,26,2,24,24,6,1,winter,0
2023-01-01,10,H003,General,Paracetamol,fever,70,697,58,5,53,22,6,1,winter,0
2023-01-01,11,H002,ICU,Cephalexin,antibiotic,84,305,68,7,61,23,6,1,winter,0
2023-01-01,19,H005,Pediatrics,Ibuprofen,fever,67,499,56,6,50,23,6,1,winter,0
2023-01-01,13,H007,Diabetes,Metformin,diabetic,49,617,37,3,34,28,6,1,winter,0
2023-01-01,19,H010,ER,Amoxicillin,antibiotic,74,398,84,7,77,18,6,1,winter,0
2023-01-01,11,H003,ER,Cephalexin,antibiotic,103,821,84,7,77,26,6,1,winter,0
2023-01-01,14,H007,Respiratory,Montelukast,respiratory,78,123,66,5,61,31,6,1,winter,0
2023-01-01,21,H010,Respiratory,Montelukast,respiratory,36,649,20,2,18,24,6,1,winter,0
2023-01-01,17,H009,General,Ibuprofen,fever,47,381,45,4,41,21,6,1,winter,0
2023-01-01,20,H008,Cardiology,Atorvastatin,cardiac,44,237,49,4,45,25,6,1,winter,0
2023-01-01,11,H009,ER,Cephalexin,antibiotic,73,865,69,7,62,30,6,1,winter,0
2023-01-01,15,H008,General,Ibuprofen,fever,81,557,67,5,62,25,6,1,winter,0
2023-01-01,23,H006,Pediatrics,Ibuprofen,fever,45,456,28,2,26,22,6,1,winter,0
2023-01-01,12,H003,Cardiology,Metoprolol,cardiac,84,362,87,10,77,23,6,1,winter,0
2023-01-02,5,H009,ER,Amoxicillin,antibiotic,76,789,66,7,59,38,0,0,winter,0
2023-01-02,19,H002,Pediatrics,Paracetamol,fever,68,242,74,7,67,29,0,0,winter,0
2023-01-02,10,H001,Cardiology,Metoprolol,cardiac,103,534,85,7,78,30,0,0,winter,0
2023-01-02,20,H005,ER,Amoxicillin,antibiotic,127,269,132,11,121,40,0,0,winter,0
2023-01-02,2,H008,Pediatrics,Ibuprofen,fever,58,853,52,5,47,39,0,0,winter,0
2023-01-02,20,H002,Respiratory,Montelukast,respiratory,86,407,77,8,69,22,0,0,winter,0
2023-01-02,19,H004,ER,Amoxicillin,antibiotic,141,244,133,14,119,41,0,0,winter,0
2023-01-02,2,H004,ER,Cephalexin,antibiotic,46,198,40,3,37,34,0,0,winter,0
2023-01-02,23,H008,Cardiology,Metoprolol,cardiac,89,148,74,8,66,24,0,0,winter,0
2023-01-02,11,H010,ER,Amoxicillin,antibiotic,45,353,50,4,46,23,0,0,winter,0
2023-01-02,23,H001,Respiratory,Montelukast,respiratory,58,385,50,5,45,24,0,0,winter,0
2023-01-02,16,H003,Respiratory,Salbutamol,respiratory,104,210,94,8,86,40,0,0,winter,0
2023-01-02,14,H005,Cardiology,Atorvastatin,cardiac,65,605,64,7,57,40,0,0,winter,0
2023-01-03,5,H004,Diabetes,Glipizide,diabetic,67,257,52,5,47,27,1,0,winter,0
2023-01-03,2,H001,General,Ibuprofen,fever,73,557,73,8,65,33,1,0,winter,0
2023-01-03,6,H005,Respiratory,Salbutamol,respiratory,67,253,66,5,61,22,1,0,winter,0
2023-01-03,22,H009,Respiratory,Albuterol,respiratory,65,872,60,6,54,40,1,0,winter,0
2023-01-03,9,H009,ICU,Cephalexin,antibiotic,69,378,67,6,61,22,1,0,winter,0
2023-01-03,10,H004,Respiratory,Montelukast,respiratory,73,483,61,4,57,32,1,0,winter,0
2023-01-03,10,H007,Cardiology,Atorvastatin,cardiac,129,672,116,13,103,31,1,0,winter,0
2023-01-03,2,H004,Respiratory,Montelukast,respiratory,59,556,53,5,48,23,1,0,winter,0
2023-01-03,12,H004,Diabetes,Metformin,diabetic,34,324,34,3,31,32,1,0,winter,0
2023-01-03,16,H008,Diabetes,Insulin,diabetic,44,283,42,3,39,22,1,0,winter,0
2023-01-03,6,H007,Cardiology,Metoprolol,cardiac,56,801,61,5,56,30,1,0,winter,0
2023-01-03,14,H003,Pediatrics,Paracetamol,fever,81,730,72,5,67,40,1,0,winter,0
2023-01-03,5,H010,Cardiology,Atorvastatin,cardiac,84,641,70,8,62,38,1,0,winter,0
2023-01-03,23,H001,Pediatrics,Paracetamol,fever,63,353,51,5,46,36,1,0,winter,0
2023-01-03,5,H010,Diabetes,Insulin,diabetic,38,233,34,3,31,31,1,0,winter,0
2023-01-03,20,H010,Respiratory,Albuterol,respiratory,58,591,56,4,52,22,1,0,winter,0
2023-01-04,16,H001,Respiratory,Albuterol,respiratory,54,331,59,6,53,39,2,0,winter,0
2023-01-04,23,H007,ER,Azithromycin,antibiotic,26,344,19,1,18,23,2,0,winter,0
2023-01-04,11,H010,Pediatrics,Ibuprofen,fever,89,407,85,9,76,23,2,0,winter,0
2023-01-04,23,H010,ER,Azithromycin,antibiotic,48,492,35,4,31,28,2,0,winter,0
2023-01-04,9,H007,Cardiology,Metoprolol,cardiac,95,577,85,8,77,41,2,0,winter,0
2023-01-04,4,H007,Respiratory,Montelukast,respiratory,34,294,43,3,40,30,2,0,winter,0
